Car #,Wendy's #,VC #,Site Name,Address,City,ST,Zip,Phone,District Manager,DAO,IT Tech,Maintenance Tech,Phone Provider,Phone Account Number,Phone Cost,Internet Provider,Internet Account Number,Internet Speeds,Internet Cost,HASP
326,5507,10640,Niceville,1022 JOHN SIMS PKWY,NICEVILLE,FL,32578,850.729.2233,Troy Ridgley,N/A,David Stover,,COX,0,,COX,,0,112.89,272217
328,7406,10642,Tiger Pt,3191 GULF BREEZE PKWY,GULF BREEZE,FL,32563,850.916.7007,Nancy Lopez,N/A,David Stover,,Media Comm,8.3846E+15,,Media Comm,,0,,272209
331,7931,10646,Kingsfield,2200 HIGHWAY 29 SOUTH,CANTONMENT,FL,32533,850.937.9869,Garry Hamilton,Charlie Crawford,David Stover,,AT&T Cellular,2872 8407 4750,,DSR,,45.0M x 6.0M,98.75,272220
332,7864,10645,Racetrack,299 RACETRACK ROAD NW,FT.WALTON BCH.,FL,32547,850.864.3860,Troy Ridgley,N/A,David Stover,,COX,17945601,,COX,,0,,236779
333,7966,10647,Hwy 98 W,8080 HIGHWAY 98 WEST,PENSACOLA,FL,32506,850.456.0505,Nancy Lopez,N/A,David Stover,,COX,0,,COX,,0,,272210
334,8163,10659,Fairhope,371 S GREENO ROAD,FAIRHOPE,AL,36533,251.990.6470,Garry Hamilton,Charlie Crawford,David Stover,,AT&T  Uverse,251 625-8555 002 0532 OR 145532673,,AT&T  Uverse,,0,,272228
335,8165,10648,Milestone,2 NEW MARKET ST,CANTONMENT,FL,32534,850.484.7056,Garry Hamilton,Charlie Crawford,David Stover,,AT&T Cellular,2872 8407 4750,27.36,COX,,0,112.89,271396
336,7963,10660,Moffet,5623 MOFFETT ROAD,MOBILE,AL,36618,251.380.0590,Amber Roessling,Charlie Crawford,Barry Russell,,Comcast,8396 0100 1000 3287,,Comcast,,0,180.74,272222
337,8876,10649,Sacred Heart,5153 N  9TH AVE,PENSACOLA,FL,32504,850.479.4333,Nancy Lopez,N/A,David Stover,,AT&T Cellular,2872 8407 4750,27.36,COX,,0,112.89,272226
338,8434,10661,Cottage Hill,3957 COTTAGE HILL ROAD,MOBILE,AL,36609,251.661.1466,Amber Roessling,Charlie Crawford,Barry Russell,,Comcast,0,,Comcast,,45.0M x 6.0M,220.74,272229
339,9890,10662,Spanish Fort,30500 STATE HWY 181,SPANISH FORT,AL,36527,251.625.8555,Garry Hamilton,Charlie Crawford,David Stover,,ATT,18193888,,ATT DSL,,0,,272230
340,8167,11090,Lynn Haven,2604 S HIGHWAY 77,LYNN HAVEN,FL,32444,850.914.2604,April Krieg,N/A,Scott Watkins,,Verizon,BOC07946,,DSR,,25.0M x 5.0M,106.23,272223
341,9880,10663,Robertsdale,21950 HWY 59 N.,ROBERTSDALE,AL,36567,251-947-9430,Garry Hamilton,Charlie Crawford,David Stover,,?,0,,Century Link - Tax ID-1348,,0,,272231
342,11568,130153,Evergreen,65 LIBERTY HILL PLACE,EVERGREEN,AL,36401,251.369.5069,Don Zimmerman,N/A,Scott Watkins,,AT&T Cellular,2872 8407 4750,27.36,DSR,,12.0M x 1.0M,174.5,219759
343,11569,138220,Destin,34717 EMERALD COAST PARKWAY,DESTIN,FL,32541,850.837.9199,Troy Ridgley,N/A,David Stover,,AT&T Cellular,2872 8407 4750,27.36,COX,,0,112.89,236775
344,12031,173196,Apple Ave,101 APPLE AVENUE,DOTHAN,AL,36303,334.446.1874,Don Zimmerman,N/A,Scott Watkins,,Comcast,0,,Comcast,,0,,291336
345,12032,,N. Crestview,1395 N FERDON BLVD,CRESTVIEW,FL,32536,850.331.2999,Troy Ridgley,N/A,Scott Watkins,,COX,0,,COX,,0,,291421
347,12376,188185,Daleville,85 NORTH DALEVILLE AVE,DALEVILLE,AL,36322,334.324.8891,Don Zimmerman,N/A,Scott Watkins,,AT&T Cellular,2872 8407 4750,,DSR,,100.0M x 10.0M,88.9,
348,13201,192126,Springhill,3464 Springhill Blvd.,MOBILE,AL,36608,251.281.5116,Amber Roessling,Charlie Crawford,Barry Russell,,AT&T Cellular,2872 8407 4750,26.89,Comcast,,0,,
349,13177,192127,Andalusia,320 W. Bypass,ANDALUSIA,AL,36420,334.208.1779,Don Zimmerman,N/A,Scott Watkins,,AT&T Cellular,2872 8407 4750,26.89,Media Comm,,60/5,115,426969
350,13466,195109,Tillman's Corner,5405 US 90W,MOBILE,AL,36619,251.677.9142,Garry Hamilton,Charlie Crawford,Barry Russell,,Media Comm,8.3846E+15,50,Media Comm,8.3846E+15,60/5,115,
351,12030,190139,Pensacola Blvd,7200 PENSACOLA BLVD,PENSACOLA,FL,32505,850.512.2994,Nancy Lopez,N/A,David Stover,,AT&T Cellular,2872 8407 4750,26.41,Cox,001 1032 021567101,100/20,110,133990
352,13344,193203,Marianna,2200 SR-71 North,MARIANNA,FL,32448,850.900.7341,April Krieg,N/A,Scott Watkins,,0,0,,Comcast,,0,,272227
353,13350,194184,McMeans Ave,806 McMeans Ave.,BAY MINETTE,AL,36507,251.744.2930,Garry Hamilton,Charlie Crawford,David Stover,,AT&T Cellular,0,102.81,Media Comm,8.3846E+15,60/5,160,
354,13320,,Navarre,1860 Elevate Ave.,Navarre,FL,32566,850.830.3246,April Krieg,N/A,David Stover,,,,,,,,,
356,13763,,Pace,4774 HWY 90,PACE,FL,32571,850.281.0188,Nancy Lopez,N/A,David Stover,,0,0,,,,0,,
357,13832,,Gulf Breeze,20 DANIEL DR,Gulf Breeze,FL,32561,850.281.0738,Nancy Lopez,N/A,David Stover,,0,0,,Verizon Hub,,0,,
401,1270,11029,Wynnton,1707 WYNNTON ROAD,COLUMBUS,GA,31906,706-288-4563,MD Shafiullah,Charlie Crawford,Scott Watkins,,AT&T Cellular,2872 8407 4750,26.99,Spectrum,,0,,
402,1272,11031,Victory,3639 VICTORY DR,COLUMBUS,GA,31903,706-288-7235,MD Shafiullah,Charlie Crawford,Scott Watkins,,AT&T Cellular,2872 8407 4750,26.99,Verizon Hub,,0,,
403,5187,11032,Bradley Park,1633 BRADLEY PARK,COLUMBUS,GA,31904,706-288-8627,MD Shafiullah,Charlie Crawford,Scott Watkins,,AT&T Cellular,2872 8407 4750,26.99,Verizon Hub,,0,,
404,7934,11033,Beaver Run,6490 MILGEN ROAD,COLUMBUS,GA,31907,706-288-4810,MD Shafiullah,Charlie Crawford,Scott Watkins,,AT&T Cellular,2872 8407 4750,26.99,Beam,,0,,
405,8464,11034,College Street,1714 S. COLLEGE STREET,AUBURN,AL,36832,706-231-5503,MD Shafiullah,Charlie Crawford,Scott Watkins,,AT&T Cellular,2872 8407 4750,26.99,Verizon Hub,,0,,
406,9158,11035,Whittlesey Park,5585 WHITTLESEY BLVD,COLUMBUS,GA,31909,706-288-5079,MD Shafiullah,Charlie Crawford,Scott Watkins,,Verizon,2872 8407 4750,,Verizon Hub,,0,,
407,9977,11036,Ladonia,3896 US HIGHWAY 80 WEST,PHENIX,AL,36870,706-231-4196,MD Shafiullah,Charlie Crawford,Scott Watkins,,AT&T Cellular,2872 8407 4750,26.99,Verizon Hub,,0,,134161
408,13441,,Phenix City,3550 US Highway 280/431,Phenix City,AL,36867,334-468-5894,MD Shafiullah,Charlie Crawford,Scott Watkins,,Beam-334-298-7000,0,,Beam-334-298-7000,,0,,
550,7920,,East Gause,2405 East Gause Blvd,Slidell,LA,70461,985-641-1043,Jonathan Burchard,Charlie Crawford,Barry Russell,,Spectrum,0,,Spectrum,,0,,
551,2069,,Old Spanish Trail,2501 Old Spanish Trail,Slidell,LA,70461,985-643-8544,Jonathan Burchard,Charlie Crawford,Barry Russell,,Spectrum,0,,Spectrum,,0,,
552,2591,,Ponchatrain,3915 Ponchatrain Drive,Slidell,LA,70458,985-641-1827,Jonathan Burchard,Charlie Crawford,Barry Russell,,Spectrum,0,,Spectrum,,0,,
553,2152,,Chalmette,3204 Paris Road,Chalmette,LA,70043,504-278-7577,Jonathan Burchard,Charlie Crawford,Barry Russell,,Verizon,0,,ATT,,50,100,
Corp,20295,,,1 Dr ML King Jr Ave Suite 130,Memphis,TN,38103,901.526.5000,,,,,0,0,,Comcast,,0,401.85,
FF,,,,,,,,,,,,,Comcast,708742100,,Comcast,708742100,,,
AG,,,,,,,,,,,,,,,,,,,,
